iter	MultiClass
0	1.096913701
1	1.095215788
2	1.093510438
3	1.091822456
4	1.090158631
5	1.088500722
6	1.086848917
7	1.085246331
8	1.083619999
9	1.08202518
10	1.080476654
11	1.078941532
12	1.077384158
13	1.075861458
14	1.074342152
15	1.072850135
16	1.071343776
17	1.069896733
18	1.068436601
19	1.066980778
20	1.065572757
21	1.064160355
22	1.062752573
23	1.061360053
24	1.059968032
25	1.058610749
26	1.057240728
27	1.05594132
28	1.054639349
29	1.053357832
30	1.052063512
31	1.050769617
32	1.049507049
33	1.048229332
34	1.046975315
35	1.045747225
36	1.044521331
37	1.043322171
38	1.042146348
39	1.040987924
40	1.039796562
41	1.038621935
42	1.037450029
43	1.036320895
44	1.035203617
45	1.034096108
46	1.032980073
47	1.031870281
48	1.030750852
49	1.02965438
50	1.028578381
51	1.027526575
52	1.026462341
53	1.02543988
54	1.024392323
55	1.023356265
56	1.022358508
57	1.021362214
58	1.020353989
59	1.01935608
60	1.018363372
61	1.01738952
62	1.016444549
63	1.015505311
64	1.014556608
65	1.013599959
66	1.012675417
67	1.011763839
68	1.010876059
69	1.0099593
70	1.009082374
71	1.008197889
72	1.007290372
73	1.006386754
74	1.005512347
75	1.00463996
76	1.003794681
77	1.002960561
78	1.002127449
79	1.00127528
80	1.00045559
81	0.9996331575
82	0.9988062665
83	0.9979990009
84	0.997236091
85	0.9964361967
86	0.9956375107
87	0.9948688761
88	0.9940946852
89	0.9933475412
90	0.9925844345
91	0.991841677
92	0.9910891725
93	0.9903311498
94	0.9895909472
95	0.988851653
96	0.988138057
97	0.9874144285
98	0.9866933707
99	0.9859891451
100	0.9852967434
101	0.9846216731
102	0.9839371395
103	0.9832695321
104	0.9825939551
105	0.9819150088
106	0.9812517898
107	0.9805955317
108	0.9799400349
109	0.9792915424
110	0.978650858
111	0.9780147801
112	0.9773752107
113	0.9767529377
114	0.9761334339
115	0.9755309774
116	0.9749185323
117	0.9742988748
118	0.9736718743
119	0.9730762894
120	0.9725105018
121	0.9719117033
122	0.9713119638
123	0.9707355886
124	0.9701520068
125	0.969588039
126	0.9690268228
127	0.9684685228
128	0.9679062073
129	0.9673459097
130	0.9667764332
131	0.9662123736
132	0.96568036
133	0.9651606071
134	0.9646201655
135	0.9640867299
136	0.9635572616
137	0.9630451287
138	0.9625184483
139	0.9620248019
140	0.9615127346
141	0.9610272984
142	0.9605162234
143	0.960003574
144	0.9595078033
145	0.9590030802
146	0.9585055634
147	0.9580210647
148	0.95754047
149	0.9570669619
150	0.9565984345
151	0.9561414635
152	0.9556742821
153	0.9552303139
154	0.9547632674
155	0.9543133946
156	0.9538536673
157	0.9533897501
158	0.9529465114
159	0.9525013427
160	0.9520647224
161	0.951625556
162	0.9511907763
163	0.9507626983
164	0.9503545038
165	0.9499275896
166	0.9495254535
167	0.9491081118
168	0.9487027253
169	0.9482792683
170	0.9478760767
171	0.9474549912
172	0.9470402643
173	0.9466419237
174	0.9462448424
175	0.9458405639
176	0.9454367056
177	0.9450441523
178	0.9446590364
179	0.944265476
180	0.9438915434
181	0.9435331585
182	0.9431534587
183	0.9427779881
184	0.9424110243
185	0.9420322645
186	0.9416738052
187	0.9412974382
188	0.9409342858
189	0.9405651561
190	0.9401950307
191	0.9398449744
192	0.9394958937
193	0.9391631005
194	0.9388282939
195	0.9385021122
196	0.9381548318
197	0.9378335971
198	0.9375118604
199	0.9371828542
200	0.9368638387
201	0.9365331651
202	0.9362108389
203	0.9359055496
204	0.9356047832
205	0.935274055
206	0.9349518804
207	0.9346260511
208	0.9342983733
209	0.9339871386
210	0.9336674279
211	0.9333506516
212	0.9330661608
213	0.9327517677
214	0.9324616932
215	0.9321610608
216	0.9318618546
217	0.9315576548
218	0.9312633904
219	0.9309717881
220	0.9306758019
221	0.9303860633
222	0.9300832967
223	0.9298075823
224	0.9295388829
225	0.9292449554
226	0.9289480294
227	0.92865197
228	0.9283664819
229	0.9280839164
230	0.9278020162
231	0.92752576
232	0.9272530411
233	0.9269782366
234	0.9267151896
235	0.9264621144
236	0.9261864428
237	0.9259015436
238	0.9256243783
239	0.9253730183
240	0.9251047854
241	0.9248300835
242	0.9245675448
243	0.924313883
244	0.9240810612
245	0.9238206537
246	0.9235710198
247	0.9233187876
248	0.9230549101
249	0.9228073907
250	0.9225536617
251	0.9222992801
252	0.9220623282
253	0.9218200567
254	0.9215948127
255	0.9213752292
256	0.9211260339
257	0.9209119791
258	0.9206670433
259	0.9204174603
260	0.9201701369
261	0.9199258018
262	0.9196875839
263	0.9194534052
264	0.9192125884
265	0.9189947846
266	0.9187501248
267	0.918535382
268	0.9183119321
269	0.9180785739
270	0.9178615965
271	0.9176602292
272	0.9174317758
273	0.9172051926
274	0.9169875104
275	0.9167732253
276	0.9165527426
277	0.9163393244
278	0.9161354237
279	0.9159350031
280	0.9157384609
281	0.9155289849
282	0.9153396869
283	0.9151360946
284	0.9149311841
285	0.914722031
286	0.9145249165
287	0.9143307323
288	0.9141490518
289	0.9139449075
290	0.9137410974
291	0.9135445565
292	0.913357758
293	0.9131797781
294	0.9129916074
295	0.9128019294
296	0.912610737
297	0.9124268258
298	0.9122417022
299	0.9120610592
300	0.91188369
301	0.9117050703
302	0.9115110012
303	0.9113284557
304	0.911143074
305	0.910980442
306	0.9108106141
307	0.9106314776
308	0.9104515962
309	0.9102849769
310	0.9101024775
311	0.9099232424
312	0.9097456205
313	0.9095742373
314	0.9093971889
315	0.9092158625
316	0.9090493615
317	0.9088914914
318	0.9087274364
319	0.9085564769
320	0.9083802371
321	0.9082246379
322	0.9080614503
323	0.9079043534
324	0.9077387676
325	0.9075692714
326	0.9074066113
327	0.9072279715
328	0.907077291
329	0.9069196071
330	0.9067610641
331	0.90659889
332	0.9064540525
333	0.9063090852
334	0.9061597638
335	0.9060043059
336	0.9058494624
337	0.9056817756
338	0.9055365648
339	0.9053798205
340	0.9052288834
341	0.9050941367
342	0.9049571694
343	0.9048101339
344	0.904662256
345	0.9045201417
346	0.9043620602
347	0.9042347461
348	0.9041000384
349	0.9039527452
350	0.9038195424
351	0.9036743249
352	0.90354964
353	0.9034037379
354	0.9032583015
355	0.903115632
356	0.9029717441
357	0.9028305276
358	0.9026980866
359	0.902580823
360	0.9024465365
361	0.9023202372
362	0.9021890321
363	0.902065731
364	0.9019154754
365	0.9017905368
366	0.9016739775
367	0.9015273711
368	0.9013998587
369	0.9012436605
370	0.9011155427
371	0.9009952496
372	0.9008829882
373	0.9007650876
374	0.9006328429
375	0.9005063152
376	0.9003740935
377	0.9002459679
378	0.9001099801
379	0.8999840364
380	0.899861565
381	0.8997212087
382	0.8996080945
383	0.8994949434
384	0.8993722034
385	0.899248623
386	0.8991108406
387	0.8989885528
388	0.898850036
389	0.8987273443
390	0.8986304406
391	0.8985073521
392	0.898377922
393	0.8982742649
394	0.8981647745
395	0.8980561923
396	0.8979479624
397	0.8978377882
398	0.897711472
399	0.8976102403
400	0.8974849076
401	0.8973691673
402	0.8972708196
403	0.8971499842
404	0.89705569
405	0.8969507782
406	0.8968360078
407	0.8967384483
408	0.8966285667
409	0.896506578
410	0.8963820819
411	0.8962630692
412	0.8961493772
413	0.8960388778
414	0.8959208069
415	0.8958255048
416	0.8957111625
417	0.8956066177
418	0.8955113626
419	0.8953903087
420	0.8952940051
421	0.8951857036
422	0.8950766517
423	0.8949692867
424	0.8948638285
425	0.894770085
426	0.8946820785
427	0.8945646402
428	0.8944483517
429	0.8943467463
430	0.8942236649
431	0.8941201267
432	0.8940231128
433	0.8939118825
434	0.8938144928
435	0.8937195082
436	0.8936289308
437	0.8935318178
438	0.8934233612
439	0.89333615
440	0.8932418854
441	0.8931384419
442	0.8930448476
443	0.8929362154
444	0.8928486641
445	0.8927608512
446	0.8926721609
447	0.8925747779
448	0.8924706119
449	0.8923952022
450	0.8923005675
451	0.8922088086
452	0.8921029869
453	0.8920173435
454	0.8919205635
455	0.8918286655
456	0.8917484215
457	0.8916343893
458	0.8915571091
459	0.8914659358
460	0.8913822583
461	0.8912762263
462	0.8911981832
463	0.8911109328
464	0.89099813
465	0.8909124782
466	0.8908296891
467	0.890742946
468	0.8906511082
469	0.890559312
470	0.890461134
471	0.8903757396
472	0.8902923366
473	0.8902040193
474	0.8901135349
475	0.8900351286
476	0.88995216
477	0.8898719229
478	0.8897804456
479	0.8896809255
480	0.8896068143
481	0.8895174777
482	0.8894149329
483	0.8893408088
484	0.8892494939
485	0.8891712514
486	0.8890769885
487	0.8889923011
488	0.8889059144
489	0.8888187055
490	0.8887337074
491	0.888634698
492	0.8885536653
493	0.8884760223
494	0.8884024118
495	0.8883230188
496	0.8882465366
497	0.8881670178
498	0.8880734685
499	0.8879967285
500	0.8879094953
501	0.887834429
502	0.8877352039
503	0.8876688162
504	0.8875926356
505	0.8875127964
506	0.8874291537
507	0.8873493412
508	0.8872745723
509	0.8871840618
510	0.8870973196
511	0.8870289888
512	0.8869553936
513	0.8868698632
514	0.8868062216
515	0.8867134721
516	0.8866436568
517	0.8865615955
518	0.8864860551
519	0.8864072095
520	0.886333613
521	0.886249849
522	0.8861626167
523	0.8860846178
524	0.8860053704
525	0.8859470937
526	0.8858639452
527	0.8857995469
528	0.885729012
529	0.8856593093
530	0.8855867923
531	0.8855218234
532	0.8854501517
533	0.8853753551
534	0.8852934439
535	0.8852230627
536	0.8851509039
537	0.8850908365
538	0.8850284583
539	0.8849600971
540	0.8848887056
541	0.8847972751
542	0.8847263114
543	0.8846638763
544	0.8845864884
545	0.8845186405
546	0.8844487511
547	0.8843807796
548	0.8842994297
549	0.8842256521
550	0.8841532218
551	0.8840831479
552	0.8840025345
553	0.8839486181
554	0.8838830759
555	0.8838181198
556	0.8837489776
557	0.8836884311
558	0.8836124169
559	0.8835170387
560	0.883443716
561	0.8833783595
562	0.8833162116
563	0.8832607593
564	0.8831900689
565	0.8831182674
566	0.8830531737
567	0.8829788115
568	0.8829059056
569	0.8828368556
570	0.8827790616
571	0.8827060777
572	0.8826227387
573	0.8825512879
574	0.8824957468
575	0.8824348818
576	0.882360996
577	0.8822912599
578	0.8822170001
579	0.8821507722
580	0.882082167
581	0.8820256062
582	0.8819713544
583	0.8819053095
584	0.8818486468
585	0.8817854793
586	0.8817147279
587	0.8816429692
588	0.8815812013
589	0.8815219711
590	0.8814694308
591	0.8813966434
592	0.8812909312
593	0.8812347529
594	0.8811672408
595	0.8811115959
596	0.8810612887
597	0.8810004015
