iter	Passed	Remaining
0	117	140968
1	177	106083
2	219	87693
3	290	86841
4	335	80094
5	382	76124
6	445	75857
7	505	75285
8	557	73837
9	603	71851
10	649	70207
11	697	69028
12	748	68332
13	802	67947
14	859	67870
15	910	67397
16	973	67715
17	1023	67235
18	1076	66936
19	1130	66706
20	1187	66695
21	1248	66849
22	1312	67159
23	1365	66892
24	1425	66987
25	1481	66909
26	1535	66723
27	1613	67524
28	1670	67471
29	1738	67802
30	1821	68693
31	1890	69004
32	1941	68666
33	1990	68255
34	2043	68027
35	2088	67539
36	2141	67299
37	2192	67057
38	2259	67269
39	2310	66996
40	2360	66725
41	2411	66476
42	2470	66466
43	2515	66089
44	2560	65718
45	2609	65471
46	2663	65333
47	2723	65366
48	2783	65395
49	2830	65095
50	2883	64963
51	2953	65195
52	3018	65325
53	3068	65121
54	3115	64859
55	3166	64691
56	3217	64524
57	3272	64437
58	3327	64355
59	3376	64162
60	3436	64175
61	3482	63925
62	3535	63798
63	3591	63741
64	3644	63644
65	3689	63398
66	3750	63427
67	3808	63406
68	3860	63286
69	3904	63027
70	3951	62832
71	4002	62701
72	4055	62613
73	4118	62669
74	4188	62831
75	4247	62818
76	4305	62796
77	4367	62822
78	4434	62927
79	4488	62845
80	4537	62691
81	4601	62740
82	4666	62795
83	4730	62844
84	4780	62705
85	4834	62621
86	4883	62477
87	4925	62242
88	4980	62176
89	5024	61963
90	5113	62313
91	5159	62140
92	5215	62076
93	5272	62034
94	5320	61883
95	5373	61800
96	5414	61572
97	5473	61548
98	5518	61373
99	5573	61308
100	5627	61230
101	5677	61120
102	5720	60925
103	5774	60859
104	5821	60713
105	5872	60610
106	5925	60524
107	5976	60427
108	6035	60408
109	6079	60239
110	6127	60116
111	6189	60124
112	6246	60090
113	6319	60199
114	6374	60144
115	6425	60044
116	6474	59934
117	6525	59836
118	6594	59901
119	6654	59893
120	6711	59850
121	6776	59878
122	6833	59834
123	6882	59719
124	6936	59655
125	7000	59666
126	7068	59719
127	7122	59650
128	7176	59580
129	7223	59451
130	7275	59374
131	7327	59282
132	7379	59205
133	7427	59088
134	7480	59013
135	7533	58937
136	7585	58856
137	7644	58826
138	7701	58790
